,weight,n_prot,chi,eRMSD
48,1.8352638471967968e-07,1.0,0.447977,0.957993
49,3.521229158721464e-06,1.0,0.986849,1.002080
50,2.4976035318258044e-06,1.0,0.848545,0.987415
51,1.844883123958949e-06,1.0,1.038924,0.953263
52,1.8910990082955304e-06,1.0,1.279473,1.010267
53,2.1092101528020615e-06,1.0,0.891928,0.958730
54,1.2951594370817887e-06,1.0,1.623433,1.047655
55,3.2678335140379455e-06,1.0,1.109804,1.006926
56,1.7739683366056815e-06,1.0,1.146912,0.970143
57,1.4793930446524493e-06,1.0,0.856384,0.940895
58,2.6750519519333027e-06,1.0,1.301293,1.034857
59,5.160663985174865e-06,1.0,0.919973,1.054848
60,3.5090315320424857e-06,1.0,1.371727,1.059184
61,5.712961724208757e-06,1.0,1.161293,1.052706
62,1.58312888656642e-07,1.0,0.431873,1.031977
63,3.9333152164024925e-06,1.0,0.985869,1.015975
64,5.526523538117437e-06,1.0,0.966679,1.050924
65,3.015698363431469e-07,1.0,0.508503,1.038448
66,1.1163678050258596e-11,0.0,0.129453,0.992020
67,1.4092258768969804e-07,1.0,0.405527,0.973363
68,8.50532219744329e-05,1.0,0.893447,1.162245
69,3.7051064344042543e-06,1.0,1.176426,1.029124
70,9.971037577281643e-07,1.0,1.340922,0.989705
71,1.1790722758116545e-06,1.0,0.747719,0.948982
72,8.591273369701068e-06,1.0,1.095384,1.069139
73,2.9033063814032287e-06,1.0,1.005184,0.981490
74,3.569771602249544e-07,1.0,0.527032,0.984203
75,2.8367151868501585e-11,0.0,0.321665,1.030807
76,5.68471297158902e-06,1.0,0.940582,1.057139
77,1.1810980450672912e-07,1.0,0.392649,1.012477
78,9.1138237082395e-07,1.0,0.669316,0.963943
79,3.2013033745073515e-06,1.0,0.985287,0.990712
80,1.8108724958398782e-06,1.0,0.771624,0.985362
81,6.976074030222829e-07,1.0,0.613696,1.032888
82,6.856154778083661e-07,1.0,0.652008,0.946939
83,1.744882773622734e-06,1.0,0.901100,0.946053
84,2.7191950121132207e-10,0.0,1.298483,0.962814
85,5.96353288016842e-10,0.0,1.333454,1.027437
86,2.754998627507567e-06,1.0,0.807060,1.042804
87,1.0870196042838345e-06,1.0,1.317526,0.988053
88,2.294245484295068e-07,1.0,0.424959,1.079953
89,4.2195714276678724e-08,1.0,-0.162085,1.011675
90,1.5657968965629995e-07,1.0,-0.329858,1.007415
91,1.7239937449336384e-06,1.0,-0.585238,0.999442
92,6.131224062114194e-08,1.0,-0.218839,1.015769
93,1.8980649068692382e-06,1.0,-0.632198,1.052884
94,4.1637440879483965e-06,1.0,-0.777298,1.049000
95,1.6105712006835158e-07,1.0,0.230161,1.135942
96,9.740849179215922e-08,1.0,0.057097,1.145146
97,1.1614842609771424e-07,1.0,-0.001739,1.203180
98,3.702186916044555e-11,0.0,0.126687,1.173579
99,6.860341834391023e-08,1.0,0.076320,1.118972
100,2.5705173451218927e-08,1.0,-0.046501,1.024701
101,7.697733869123906e-08,1.0,0.316016,1.059679
102,2.397497892061757e-07,1.0,0.220284,1.165724
103,1.9223397526526457e-11,0.0,0.216178,1.086936
104,2.805356925284574e-11,0.0,0.303202,1.070500
105,2.0189105159202824e-07,1.0,0.178682,1.239760
106,1.036034934821635e-07,1.0,-0.027882,1.221044
107,3.175343982000325e-08,1.0,-0.073010,1.051404
108,2.661961586886992e-08,1.0,0.026096,0.959182
109,2.3367434985732903e-07,1.0,-0.375226,1.014120
110,4.222133798477428e-08,1.0,0.206406,1.062617
111,3.914649695689418e-08,1.0,0.136083,1.077135
112,1.6776860501825094e-06,1.0,-0.595437,1.013424
113,3.9610274548416124e-08,1.0,-0.140455,1.040902
114,9.512348818644504e-06,1.0,-1.250408,1.043165
115,5.049185655089386e-08,1.0,-0.186759,0.999626
116,4.114557910799272e-06,1.0,-0.762912,1.034835
117,4.285933632755051e-08,1.0,-0.143961,0.964820
118,6.441979130598519e-06,1.0,-0.914751,1.047971
119,2.901042294140721e-09,0.0,-1.438255,1.053418
120,2.3641857699541306e-09,0.0,-2.703564,1.219292
121,4.061086720041812e-09,0.0,-3.020871,1.233425
122,2.6514234023099844e-09,0.0,-2.707264,1.211219
123,1.8279600022335392e-05,1.0,-3.126242,1.243395
124,2.412947584978823e-05,1.0,2.903035,1.205103
125,2.1120650236801473e-05,1.0,-2.925535,1.196138
126,3.1801486292195615e-05,1.0,2.986475,1.197233
127,3.317434927101808e-05,1.0,-3.085968,1.189383
